Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS
JY56-z1,2862.5,1,86.574,176.232,2.607,1.811,1887.56
JY56-z1,2862.625,1,94.253,175.248,2.603,1.716,1991.205
JY56-z1,2862.75,1,100.602,174.808,2.599,1.922,2022.824
JY56-z1,2862.875,1,105.836,177.415,2.601,2.631,1928.989
JY56-z1,2863,1,113.16,189.253,2.613,4.107,1592.787
JY56-z1,2863.125,1,124.666,202.101,2.641,6.482,1073.873
JY51-2,3026.875,1,152.842,70.275,210.728,2.672,13.918
JY51-2,3027,1,151.346,70.329,208.878,2.634,17.749
JY51-2,3027.125,1,133.311,70.304,206.389,2.601,17.674
JY51-2,3027.25,1,111.097,70.193,203.532,2.585,13.122
JY51-2,3027.375,1,95.076,70.031,200.661,2.592,7.872
JY51-2,3027.5,1,89.788,69.863,198.145,2.608,4.927
JY51-2,3027.625,1,89.977,69.736,196.322,2.627,4.071
JY51-2,3027.75,1,89.579,69.7,195.507,2.64,4.529
JY51-2,3027.875,1,85.342,69.808,195.82,2.645,5.364
JY51-2,3028,1,79.596,70.072,197.409,2.643,5.858
JY51-2,3028.125,1,76.603,70.498,200.225,2.636,5.731
JY51-2,3028.25,1,80.937,71.073,204.071,2.632,5.334
JY51-2,3028.375,1,94.514,71.757,208.738,2.636,5.352
JY51-2,3028.5,1,116.948,72.486,213.81,2.648,6.464
JY51-2,3034,1,102.363,57.479,190.285,2.619,6.128
JY51-2,3034.125,1,98.089,57.463,191.05,2.61,4.738
JY51-2,3034.25,1,97.199,57.476,192.195,2.603,3.912
JY51-2,3034.375,1,98.918,57.53,193.663,2.6,3.74
JY51-2,3034.5,1,101.835,57.602,195.35,2.6,4.037
JY51-2,3034.625,1,104.275,57.659,197.157,2.602,4.528
JY51-2,3034.75,1,105.732,57.669,198.99,2.609,5.017
JY51-2,3034.875,1,107.441,57.622,200.838,2.619,5.478
JY51-2,3035,1,110.598,57.554,202.784,2.63,6.017
JY51-2,3035.125,1,114.647,57.55,204.984,2.636,6.725
JY51-2,3035.25,1,117.88,57.677,207.608,2.637,7.571
JY51-2,3035.375,1,120.065,57.955,210.745,2.637,8.423
JY51-2,3035.5,1,121.504,58.338,214.23,2.639,9.047
JY51-2,3035.625,1,121.927,58.721,217.709,2.64,9.205
JY51-2,3035.75,1,120.171,58.973,220.623,2.639,8.755
JY51-2,3035.875,1,114.751,58.987,222.416,2.633,7.759
JY51-2,3036,1,105.472,58.776,222.629,2.621,6.417
JY51-2,3036.125,1,94.655,58.443,221.202,2.609,4.988
JY51-2,3036.25,1,86.881,58.135,218.464,2.599,3.841
JY51-2,3036.375,1,85.403,57.949,214.989,2.597,3.309
JY51-2,3036.5,1,90.13,57.914,211.613,2.601,3.625
JY51-2,3036.625,1,96.922,57.974,209.077,2.61,4.737
JY51-2,3036.75,1,102.505,58.056,207.988,2.62,6.349
JY51-2,3036.875,1,106.05,58.118,208.513,2.629,7.922
JY51-2,3037,1,108.26,58.191,210.702,2.632,8.985
JY51-2,3037.125,1,108.194,58.327,214.379,2.63,9.437
JY51-2,3037.25,1,104.542,58.549,219.132,2.626,9.243
JY51-2,3037.375,1,99.798,58.812,224.577,2.619,8.314
JY51-2,3037.5,1,99.265,59.047,230.173,2.613,6.931
JY51-2,3037.625,1,105.841,59.194,235.275,2.614,5.887
JY51-2,3037.75,1,115.016,59.266,239.141,2.627,5.815
JY51-2,3037.875,1,118.758,59.335,241.106,2.648,6.888
JY51-2,3038,1,113.078,59.497,240.667,2.667,8.615
JY51-2,3038.125,1,101.73,59.794,237.584,2.673,9.898
JY51-2,3038.25,1,91.404,60.191,232.337,2.662,9.52
JY51-2,3038.375,1,86.169,60.571,225.658,2.643,7.572
JY51-2,3038.5,1,86.162,60.813,218.675,2.625,5.477
JY51-2,3038.625,1,90.361,60.858,212.62,2.615,4.435
JY51-2,3038.75,1,97.758,60.775,208.175,2.612,4.551
JY51-2,3038.875,1,107.478,60.691,205.317,2.613,5.573
JY51-2,3039,1,117.074,60.737,203.568,2.62,7.058
JY51-2,3039.125,1,123.644,60.97,202.659,2.63,8.52
JY51-2,3039.25,1,126.573,61.379,202.411,2.642,9.659
JY51-2,3039.375,1,127.578,61.884,202.626,2.653,10.531
JY51-2,3039.5,1,126.489,62.389,203.078,2.66,11.312
JY51-2,3039.625,1,119.644,62.827,203.583,2.658,11.655
JY51-2,3039.75,1,105.863,63.178,204.059,2.647,10.778
JY51-2,3040.5,1,138.542,65.797,204.858,2.667,7.668
JY51-2,3040.625,1,139.72,66.44,204.441,2.676,10.86
JY51-2,3040.75,1,134.788,66.99,203.956,2.675,13.389
JY51-2,3040.875,1,128.2,67.436,203.603,2.668,13.75
JY51-2,3041,1,121.84,67.824,203.654,2.66,12.021
JY51-2,3041.125,1,116.728,68.226,204.41,2.654,9.786
JY51-2,3041.25,1,114.588,68.674,206.129,2.651,8.123
JY51-2,3041.375,1,118.042,69.15,208.865,2.652,7.44
JY51-2,3041.5,1,129.052,69.598,212.555,2.662,7.923
JY51-2,3044.625,1,127.651,71.113,212.332,2.666,11.098
JY51-2,3044.75,1,117.801,71.25,211.066,2.651,8.2
JY51-2,3044.875,1,111.139,71.376,209.255,2.639,6.401
JY51-2,3045,1,106.641,71.54,206.947,2.632,5.734
JY51-2,3045.125,1,102.335,71.794,204.251,2.63,5.82
JY51-2,3045.25,1,97.409,72.166,201.296,2.628,6.087
JY51-2,3045.375,1,92.652,72.629,198.201,2.627,6.084
JY51-2,3045.5,1,88.501,73.125,195.134,2.626,5.712
JY51-2,3045.625,1,84.747,73.59,192.315,2.627,5.175
JY51-2,3045.75,1,81.209,73.983,190.008,2.627,4.727
JY51-2,3045.875,1,78.499,74.312,188.461,2.627,4.517
JY51-2,3046,1,77.573,74.635,187.934,2.628,4.593
JY51-2,3046.125,1,79.308,75.037,188.646,2.626,4.944
JY51-2,3046.25,1,84.369,75.565,190.708,2.623,5.471
JY51-2,3046.375,1,93.316,76.194,194.276,2.622,6.029
JY51-2,3046.5,1,107.821,76.864,199.341,2.628,6.63
JY51-2,3046.625,1,128.999,77.514,205.677,2.642,7.561
JY51-2,3046.75,1,154.639,78.103,213.019,2.66,9.368
JY51-2,3046.875,1,179.036,78.621,221.041,2.676,12.676
