Well Name,Depth,Facies,GR,AC,DEN,LLS
JY11-4,2307.75,5,166.698,242.633,2.634,55.546
JY11-4,2307.875,5,158.243,241.83,2.632,54.87
JY11-4,2308,5,154.257,241.027,2.632,54.864
JY11-4,2308.125,5,152.184,239.881,2.636,55.005
JY11-4,2308.25,5,149.925,234.669,2.634,56.107
JY11-4,2308.375,5,152.562,236.069,2.635,54.838
JY11-4,2308.5,5,154.054,238.551,2.635,53.11
JY11-4,2308.625,5,156.777,244.683,2.626,50.575
JY11-4,2308.75,5,159.148,247.228,2.622,50.566
JY11-4,2308.875,5,161.285,248.519,2.62,51.099
JY11-4,2309,5,162.185,248.682,2.617,51.535
JY11-4,2309.125,5,162.264,248.418,2.612,51.674
JY11-4,2309.375,5,162.331,240.733,2.615,32.954
JY11-4,2309.875,4,163.005,239.587,2.617,32.547
JY11-4,2310,4,162.535,239.412,2.617,35.528
JY11-4,2310.125,4,214.533,249.866,2.645,11.049
JY11-4,2310.75,4,223.144,246.406,2.649,12.189
JY11-4,2310.875,4,218.058,241.36,2.652,15.916
JY11-4,2311,4,170.755,241.451,2.625,44.366
JY11-4,2311.625,4,173.461,240.528,2.632,18.869
JY11-4,2311.75,4,175.602,239.085,2.63,18.104
JY11-4,2311.875,4,178.363,238.04,2.628,20.81
JY11-4,2314.625,5,165.655,245.628,2.641,13.425
JY11-4,2314.75,5,163.354,237.989,2.623,6.824
JY11-4,2314.875,5,163.965,238.676,2.624,11.353
JY11-4,2315,5,165.205,239.877,2.628,21.747
JY11-4,2315.125,5,156.273,237.38,2.644,57.838
JY11-4,2315.25,5,156.191,235.604,2.651,59.21
JY11-4,2315.375,5,155.07,232.663,2.659,61.137
JY11-4,2315.5,5,161.454,238.713,2.66,48.49
JY11-4,2315.625,5,164.328,241.12,2.655,41.379
JY11-4,2315.75,5,163.985,241.032,2.653,36.285
JY11-4,2315.875,5,160.193,238.127,2.627,19.094
JY11-4,2320.875,4,171.81,270.648,2.603,43.757
JY11-4,2321,4,169.281,269.024,2.602,47.789
JY11-4,2321.125,4,166.736,266.175,2.605,47.026
JY11-4,2324.625,4,163.573,263.887,2.593,53.457
JY11-4,2324.75,4,164.119,264.41,2.594,51.013
JY11-4,2324.875,4,164.015,264.835,2.592,48.949
JY11-4,2326.125,4,163.905,264.559,2.592,48.332
JY11-4,2326.25,4,164.123,263.51,2.596,49.996
JY11-4,2326.375,4,163.809,262.657,2.606,53.072
JY11-4,2335.375,4,173.468,233.847,2.627,68.931
JY11-4,2335.5,4,173.38,236.201,2.612,65.47
JY11-4,2335.625,4,166.064,241.368,2.588,46.385
JY11-4,2338.25,5,191.513,243.541,2.584,68.476
JY11-4,2338.375,5,195.9,245.708,2.573,74.987
JY11-4,2338.5,5,202.469,252.7,2.572,60.377
JY41-5,2494.5,4,165.888,238.551,2.742,36.016
JY41-5,2494.625,4,164.232,238.706,2.745,35.66
JY41-5,2520.125,4,188.447,249.275,2.725,34.515
JY41-5,2520.25,4,181.884,247.823,2.716,36.195
JY41-5,2521,4,174.907,238.665,2.703,40.163
JY41-5,2521.125,4,176.183,238.368,2.7,39.414
JY41-5,2521.25,4,177.935,238.672,2.702,38.281
JY41-5,2522.125,4,181.222,242.698,2.709,35.557
JY41-5,2522.25,4,184.508,243.803,2.704,29.618
JY41-5,2522.375,4,187.919,245.654,2.699,23.136
JY41-5,2523.25,4,189.081,253.41,2.716,31.594
JY41-5,2523.375,4,191.613,253.397,2.718,29.421
JY41-5,2523.5,4,194.113,253.462,2.716,28.056
JY41-5,2524.25,4,186.462,254.463,2.701,34.942
JY41-5,2524.375,4,183.164,254.525,2.709,34.494
JY41-5,2524.5,4,182.628,254.347,2.72,34.154
JY41-5,2525.125,4,174.938,251.576,2.703,33.351
JY41-5,2525.25,4,175.701,251.445,2.705,33.169
JY41-5,2525.375,4,176.596,251.55,2.71,33.04
JY41-5,2526.125,4,178.725,254.019,2.728,25.803
JY41-5,2526.25,4,180.339,254.521,2.731,24.605
JY41-5,2526.375,4,183.28,255.012,2.735,24.68
JY41-5,2527.125,4,181.617,255.457,2.72,31.366
JY41-5,2527.25,4,179.41,254.761,2.716,31.51
JY41-5,2527.375,4,177.695,253.873,2.715,31.055
JY41-5,2528,4,178.108,250.025,2.723,24.481
JY41-5,2528.125,4,175.971,249.991,2.719,26.513
JY41-5,2528.25,4,175.205,250.204,2.714,28.936
JY41-5,2528.875,4,182.537,249.494,2.716,32.001
JY41-5,2529,4,178.026,248.254,2.714,32.878
JY41-5,2529.125,4,172.929,246.999,2.718,33.263
JY41-5,2529.75,4,179.54,247.462,2.726,29.011
JY41-5,2529.875,4,180.642,248.073,2.725,29.633
JY41-5,2530,4,180.674,248.408,2.723,30.66
JY41-5,2530.625,4,178.624,249.629,2.731,32.51
JY41-5,2530.75,4,177.418,250.406,2.728,32.444
JY41-5,2530.875,4,177.107,251.216,2.727,32.223
JY41-5,2531.375,4,184.077,252.736,2.717,30.965
JY41-5,2531.5,4,184.536,252.677,2.715,30.845
JY41-5,2531.625,4,185.313,252.583,2.718,30.817
JY41-5,2532.375,4,181.358,253.602,2.726,30.6
JY41-5,2532.5,4,178.836,253.917,2.729,30.523
JY41-5,2532.625,4,177.019,254.249,2.732,30.435
JY41-5,2533.25,4,176.368,255.209,2.748,30.695
JY41-5,2533.375,4,178.819,255.004,2.746,29.364
JY41-5,2533.5,4,180.659,254.698,2.742,25.719
JY41-5,2534,4,187.24,253.679,2.742,15.809
JY41-5,2534.125,4,186.378,253.541,2.733,18.956
JY41-5,2534.25,4,183.233,253.293,2.724,23.895
JY41-5,2534.875,4,177.201,251.546,2.725,30.864
JY41-5,2535,4,174.544,252.181,2.721,27.992
JY41-5,2535.125,4,173.179,253.212,2.714,24.077
JY41-5,2535.875,4,182.827,255.4,2.699,31.094
JY41-5,2536,4,181.282,254.563,2.699,33.002
JY41-5,2536.125,4,181.363,253.808,2.696,33.177
JY41-5,2536.875,4,190.692,257.522,2.693,27.333
JY41-5,2537,4,193.229,258.335,2.695,27.467
JY41-5,2537.125,4,194.289,258.538,2.695,28.017
JY41-5,2537.875,4,188.411,253.603,2.716,23.773
JY41-5,2538,4,187.172,253.741,2.717,25.34
JY41-5,2538.125,4,187.972,254.11,2.715,25.316
JY41-5,2538.875,4,186.225,259.364,2.715,11.955
JY41-5,2539,4,189.167,259.999,2.706,15.535
JY41-5,2539.125,4,190.624,260.012,2.696,17.626
JY41-5,2540,4,186.347,258.339,2.706,22.065
JY41-5,2540.125,4,185.876,258.724,2.702,24.283
JY41-5,2540.25,4,182.737,259.065,2.699,26.337
JY41-5,2541.5,4,198.955,259.219,2.71,38.876
JY41-5,2541.625,4,195.759,259.344,2.709,39.047
JY41-5,2541.75,4,193.833,259.454,2.709,38.665
JY41-5,2542.625,4,213.597,257.861,2.691,20.896
JY41-5,2542.75,4,213.005,257.608,2.684,19.837
JY41-5,2542.875,4,211.356,257.574,2.675,18.55
JY41-5,2543.375,4,208.361,259.004,2.651,15.188
JY41-5,2543.5,4,207.693,259.275,2.645,11.56
JY41-5,2543.625,4,204.293,259.335,2.643,8.619
JY41-5,2544.375,4,193.576,255.294,2.67,32.334
JY41-5,2544.5,4,190.745,255.548,2.675,31.991
JY41-5,2544.625,4,187.679,256.479,2.679,30.246
JY41-5,2545.25,4,181.529,261.384,2.661,26.11
JY41-5,2545.375,4,183.592,261.623,2.664,28.722
JY41-5,2545.5,4,185.671,261.727,2.666,29.283
JY41-5,2546,4,186.347,258.892,2.645,15.716
JY41-5,2546.125,4,188.056,257.383,2.64,15.966
JY41-5,2546.25,4,189.358,255.968,2.64,18.051
JY41-5,2547,4,189.517,252.368,2.656,49.644
JY41-5,2547.125,4,185.922,251.095,2.661,41.697
JY41-5,2547.25,4,182.934,249.675,2.664,31.787
JY41-5,2548,4,187.422,254.492,2.673,36.673
JY41-5,2548.125,4,191.494,258.258,2.672,38.908
JY41-5,2548.25,4,196.788,262.074,2.67,39.565
JY41-5,2548.875,4,209.681,268.286,2.661,37.134
JY41-5,2549,4,226.167,272.177,2.628,19.643
JY41-5,2549.125,4,227.265,272.069,2.622,16.357
JY41-5,2550,5,224.231,271.349,2.617,15.604
JY41-5,2550.125,5,211.656,260.947,2.586,55.965
JY41-5,2550.25,5,209.697,258.875,2.594,62.139
JY41-5,2551,4,203.426,255.842,2.614,66.853
JY41-5,2551.125,4,196.786,251.406,2.612,59.811
JY41-5,2551.25,4,202.558,255.024,2.598,54.222
JY41-5,2552.125,4,205.121,258.064,2.595,45.413
JY41-5,2552.25,4,236.308,262.619,2.651,28.567
JY41-5,2552.375,4,238.167,263.646,2.653,23.686
JY41-5,2553.25,4,233.436,264.675,2.649,17.091
JY41-5,2553.375,4,189.345,266.035,2.69,32.813
JY41-5,2553.5,4,194.573,267.743,2.686,25.437
JY41-5,2554,4,202.383,269.929,2.681,18.681
JY41-5,2554.125,4,201.701,274.962,2.66,18.336
JY41-5,2554.25,4,199.152,275.312,2.656,19.45
JY41-5,2554.5,4,200.275,275.912,2.654,19.369
JY41-5,2554.625,4,210.141,277.714,2.651,19.101
JY41-5,2554.75,4,214.849,278.49,2.649,19.229
JY41-5,2556,4,215.899,278.956,2.648,19.027
JY41-5,2556.125,4,203.313,275.996,2.65,32.877
JY41-5,2556.25,4,207.325,276.358,2.65,32.952
JY41-5,2557.125,5,211.89,275.105,2.669,32.826
JY41-5,2559.125,4,213.233,266.65,2.67,20.124
JY41-5,2559.25,4,216.993,269.823,2.652,21.055
JY41-5,2560,4,217.087,271.58,2.641,23.626
JY41-5,2560.125,4,201.586,269.349,2.663,31.048
JY41-5,2560.25,4,203.269,268.205,2.666,29.168
JY41-5,2561,4,203.825,266.862,2.669,26.296
JY41-5,2561.125,4,199.503,263.025,2.675,24.466
JY41-5,2561.25,4,201.476,263.584,2.67,24.772
JY41-5,2562,4,202.295,264.03,2.671,23.02
JY41-5,2562.125,4,199.093,261.659,2.681,30.383
JY41-5,2562.25,4,196.023,259.733,2.665,32.245
JY41-5,2566,4,160.523,238.058,2.671,58.196
JY41-5,2566.125,4,172.429,243.33,2.646,56.069
JY41-5,2566.25,4,174.058,242.662,2.641,56.305
JY41-5,2566.625,4,174.191,242.049,2.638,56.226
JY41-5,2566.75,4,171.805,242.13,2.63,55.951
JY41-5,2566.875,4,171.844,242.635,2.633,56.758
JY41-5,2571.25,4,178.96,235.445,2.658,45.639
JY41-5,2571.375,4,164.553,231.103,2.691,45.439
JY41-5,2571.5,4,167.477,233.485,2.684,45.676
JY41-5,2572.125,4,171.507,235.824,2.676,43.489
JY41-5,2572.25,4,178.792,241.142,2.635,39.187
JY41-5,2572.375,4,180.409,241.286,2.633,28.749
JY41-5,2573,4,180.39,241.186,2.64,17.231
JY41-5,2573.125,4,179.445,238.496,2.636,41.292
JY41-5,2573.25,4,175.719,238.031,2.635,49.027
JY41-5,2576.375,5,169.647,235.154,2.653,64.783
JY41-5,2576.5,5,166.337,233.593,2.664,40.729
JY41-5,2576.625,5,166.2,234.225,2.66,27.373
JY41-5,2581,4,171.452,251.371,2.65,40.642
JY41-5,2581.125,4,188.632,258.277,2.633,33.174
JY41-5,2581.25,4,185.84,258.119,2.631,31.475
JY41-5,2582.125,4,182.989,258.343,2.628,26.365
JY41-5,2582.25,4,188.116,261.861,2.618,42.117
JY41-5,2582.375,4,183.574,260.598,2.616,49.902
JY41-5,2586.875,4,177.12,257.844,2.581,62.373
JY41-5,2587,4,172.485,255.594,2.608,61.57
JY41-5,2587.125,4,175.887,254.226,2.612,61.816
JY41-5,2589.25,5,184.195,257.827,2.573,54.333
JY41-5,2589.375,5,180.289,260.049,2.6,55.474
JY41-5,2589.5,5,187.911,260.764,2.595,56.024
JY41-5,2591.5,4,208.832,261.939,2.598,38.248
JY41-5,2591.625,4,224.591,264.146,2.609,33.9
JY41-5,2591.75,4,221.792,263.805,2.61,31.016
JY41-5,2592.125,4,219.453,262.434,2.611,26.812
JY41-5,2592.25,4,206.544,253.336,2.638,23.082
JY41-5,2592.375,4,198.637,250.072,2.648,27.765
JY41-5,2594,5,193.395,243.562,2.629,18.517
JY41-5,2594.125,5,204.756,239.814,2.612,57.41
JY41-5,2594.25,5,205.576,240.681,2.614,59.195
JY41-5,2594.875,5,202.104,241.135,2.622,63.205
JY41-5,2595,5,199.093,237.712,2.612,41.81
JY41-5,2620.5,4,134.219,251.71,2.532,24.288
JY41-5,2620.625,4,158.97,269.262,2.527,26.057
JY41-5,2620.75,4,168.608,273.406,2.535,35.107
JY56-z1,2864.75,4,186.334,239.097,2.729,37.771
JY56-z1,2865,4,183.139,237.273,2.724,38.364
JY56-z1,2865.375,4,180.382,236.383,2.714,39.994
JY56-z1,2865.5,4,178.409,237.074,2.71,40.82
JY56-z1,2865.625,4,178.192,238.154,2.703,41.743
JY56-z1,2868,4,198.527,264.848,2.688,30.062
JY56-z1,2868.25,4,202.489,264.334,2.702,27.772
JY56-z1,2868.375,4,200.754,263.861,2.708,27.537
JY56-z1,2868.625,4,198.02,262.39,2.706,29.079
JY56-z1,2868.75,4,199.364,261.685,2.701,29.802
JY56-z1,2869,4,203.933,261.522,2.695,27.495
JY56-z1,2869.25,4,200.315,263.08,2.689,24.408
JY56-z1,2869.375,4,199.042,263.997,2.688,24.848
JY56-z1,2869.5,4,200.104,264.448,2.689,26.862
JY56-z1,2869.75,4,203.809,263.232,2.699,33.652
